pmid	relevance	biogrid	contains_interactions	pablo_comment	round
20231902	1.854864784	yes	yes		rd1
20205790	1.411133333	yes	yes		rd1
19417068	1.402651824	no	yes		rd1
15942030	1.393769636	no	yes		rd1
19144645	1.384806358	yes	yes		rd1
18725536	1.383496418	no	yes		rd1
20352051	1.379419112	no	yes		rd1
19343227	1.370857143	yes	yes	ChIP data	rd1
17913746	1.350462338	no	yes		rd1
21311754	1.350075191	no	yes		rd1
25293974	0.749686932	no	yes		rd1
17332776	0.749686932	yes	yes		rd1
25242525	0.749686932	yes	yes	crystal, homodimers	rd1
9845526	0.749686932	yes	yes		rd1
11546794	0.749686932	yes	yes		rd1
8276809	0.749686932	no	yes		rd1
9461588	0.749686932	no	yes		rd1
19200342	0.749686932	no	yes		rd1
12016217	0.749686932	yes	yes		rd1
10713049	0.749686932	no	yes		rd1
9228024	0.500042538	no	no	binding mentioned, enzyme activty measured	rd1
22053213	0.500042538	no	yes	ChIP data	rd1
15492845	0.500042538	no	no	interaction mentioned in abstract, but referred to older paper	rd1
15629458	0.500042538	no	yes	could not be 100% ascertained, paper behind paywall	rd1
9662395	0.500042538	no	no	interaction used in a different context (genetic interaction)	rd1
8567687	0.500042538	no	no	interaction mentioned in abstract, but referred to older paper	rd1
18818748	0.500042538	no	no	interaction used in a different context (genetic interaction)	rd1
19069310	0.500042538	no	no	review	rd1
10550206	0.500042538	no	no	review	rd1
2438332	0.500042538	no	no / NA	could not be 100% ascertained, paper behind paywall	rd1
21629263	1.34715118241602	no	yes		rd2
11756467	1.3093521997086	no	yes		rd2
15507451	1.29515124497847	yes	yes		rd2
21385873	1.28764671259974	yes	yes		rd2
11034606	1.27662047922837	yes	yes		rd2
20457750	1.23939035771926	yes	yes		rd2
18590578	1.19829061040309	yes	yes		rd2
25149538	1.15436528321076	yes	yes		rd2
19487455	1.08791993328586	yes	yes		rd2
19232515	1.06437091882729	yes	yes		rd2
9334164	0.752628361253442	yes	yes		rd2
10209123	0.752628361253442	yes	yes		rd2
22907656	0.752628361253442	yes	yes		rd2
21278419	0.752628361253442	yes	yes		rd2
19047179	0.752628361253442	yes	yes		rd2
10619021	0.752628361253442	yes	yes		rd2
20504995	0.752628361253442	yes	yes		rd2
19647793	0.752628361253442	yes	yes		rd2
8626413	0.752628361253442	yes	yes		rd2
9230816	0.752628361253442	yes	yes		rd2
25366495	0.74876594375556	yes	yes		rd2
25380047	0.74876594375556	yes	yes		rd2
25384975	0.74876594375556	yes	yes		rd2
25384981	0.74876594375556	yes	yes		rd2
25385192	0.74876594375556	yes	yes		rd2
25388970	0.74876594375556	yes	yes		rd2
25404403	0.74876594375556	yes	yes		rd2
25404732	0.74876594375556	yes	yes		rd2
25408501	0.74876594375556	yes	yes		rd2
25411243	0.74876594375556	yes	yes		rd2
18337501	0.501078524670627	no	yes		rd2
21603163	0.500919772576452	yes	yes		rd2
10779323	0.500893124872232	no	yes	mostly DNA-protein interactions	rd2
1461721	0.500817404874094	no	yes?	very old paper, evidence might not be good enough for IMEx	rd2
8505282	0.500582271218643	yes	yes		rd2
19038973	0.500515745085731	no	yes		rd2
12210728	0.500511739024622	yes	yes		rd2
14662749	0.500393707313113	yes	yes		rd2
10583507	0.500181416482861	yes	yes		rd2
14987413	0.499973476156461	no	no	clinical review	rd2
14643060	0.349980280730363	no	no	review	rd2
15260889	0.349911774473611	no	no		rd2
15264216	0.34963117939318	no	yes?	lipid-protein interaction in ezymatic assay, 'interaction' used frequently in text in context of genetic interaction	rd2
9677319	0.349617435455346	no	yes		rd2
18573876	0.349617435455346	yes	yes		rd2
15932940	0.349617435455346	yes	yes		rd2
20085538	0.349489550487495	yes	yes		rd2
11940591	0.349489550487495	yes	yes		rd2
15314026	0.349489550487495	no	yes		rd2
9560319	0.349489550487495	yes	yes	small-molecule-protein interaction	rd2
11777942	0.249267713408801	yes	yes		rd2
20110263	0.249232634066354	no	yes	ChIP data	rd2
20089844	0.249163497662233	no	yes		rd2
15985167	0.249088653276987	no	no	structure modelling paper	rd2
21679465	0.24882941740866	no	yes	ChIP data	rd2
22347420	0.248713420273278	yes	yes		rd2
19534553	0.248561093567657	no	no	generic phosphorylated peptide Ips	rd2
28066428	0.248400133218979	no	yes	ChIP data	rd2
15911876	0.248358805232103	no	yes		rd2
23516550	0.2482336782588	yes	yes		rd2
25190485	0.100989656609764	yes	yes		rd2
25901786	0.100350530382787	yes	yes		rd2
22262461	0.100350530382787	yes	yes		rd2
26927068	0.100350530382787	no	yes	ChIP, y1h, EMSA data	rd2
12438421	0.100263456661138	no	no	RETRACTED PAPER	rd2
25595906	0.100178618235352	yes	yes		rd2
25839160	0.09975657354656	no	no		rd2
24960071	0.099665490031302	no	yes	Already in IMEx	rd2
11877461	0.0995326280682133	no	yes		rd2
27926479	0.0993953424501784	no	yes	ChIP data	rd2
24385911	0.0306052195588734	no	yes		rd2
23727861	0.0281931084673497	yes	yes		rd2
