pmid	relevance	IMEX	coverage	Proteins	Protein interest	Combined_score	contains_interactions	pablo_comment	biogrid	round
20231902	1.854864784	false	4	A0A087WZ06|B0LPE5|A0A087WZ06|B3KVH4|A0A087WZ06|P31749|A0A087WZ06|Q6ZTQ3|B0LPE5|Q13188|B3KVH4|Q13188|P04049|Q13188|P05019|Q13188|P08842|Q13188|P31749|Q13188|P31751|Q13188|Q13188|Q6ZTQ3|Q13188|Q9Y243	7.082379781	2.627371369	yes		yes	rd1
20205790	1.411133333	false	1	A0A0A0MRG2|B1VKB5|A0A0A0MRG2|B7Z9I9|A0A0A0MRG2|Q6V0K8|A0A0A0MRG2|Q7Z6G8|A0A140VJC8|B1VKB5|A0A140VJC8|B7Z9I9|A0A140VJC8|Q6V0K8|A0A140VJC8|Q7Z6G8|B1VKB5|B4DGD0|B1VKB5|B4DJT9|B1VKB5|E9PG40|B1VKB5|P05067|B4DGD0|B7Z9I9|B4DGD0|Q6V0K8|B4DGD0|Q7Z6G8|B4DJT9|B7Z9I9|B4DJT9|Q6V0K8|B4DJT9|Q7Z6G8|B7Z9I9|E9PG40|B7Z9I9|P05067|E9PG40|Q6V0K8|E9PG40|Q7Z6G8|O00213|P05067|O14979|Q07954|O75096|Q7Z2X4|O95704|P05067|P02649|Q07954|P05067|P0CG47|P05067|Q07954|P05067|Q15691|P05067|Q6V0K8|P05067|Q7Z6G8|P05067|Q99747|P05067|Q9UQF2|P08621|Q07954|Q07954|Q15691|Q07954|Q6P1N0|Q07954|Q7Z2X4|Q07954|Q7Z6G8|Q07954|Q9NVN3|Q07954|Q9UQF2|Q59FG2|Q7Z2X4|Q7Z2X4|Q7Z6G8	39.28158926	27.71577999	yes		yes	rd1
19417068	1.402651824	false	0	A0A024R2Q3|Q09472|A0A024R2Q3|Q14192|A0A024R2Q3|Q2XQU9|A0A024R2Q3|Q6I9R8|A0A024R2Q3|Q7Z6C1|A0A024R2Q3|Q9Y4K3|A0A024RCX5|A0A0A0MRA3|A0A024RCX5|A0A0A0MTS7|A0A024RCX5|Q7Z3B7|A0A024RCX5|Q8WZ42|A0A024RDE8|Q02363|A0A024RDE8|Q53T66|A0A0A0MRA3|P38936|A0A0A0MTS7|P38936|A0A140VJU7|Q02363|A0A140VJU7|Q14192|A0A140VJU7|Q2XQU9|A0A140VJU7|Q53T66|A0A140VJU7|Q6I9R8|B4DGD7|Q14192|B4DGD7|Q2XQU9|B4DGD7|Q6I9R8|B4DGU4|Q09472|B4DGU4|Q14192|B4DGU4|Q2XQU9|B4DGU4|Q6I9R8|B4DGU4|Q7Z6C1|B4DGU4|Q9Y4K3|B7Z481|Q02363|B7Z481|Q53T66|B7Z8X5|Q02363|B7Z8X5|Q53T66|C9J020|Q02363|C9J020|Q14192|C9J020|Q2XQU9|C9J020|Q53T66|C9J020|Q6I9R8|D3DSZ4|Q02363|D3DSZ4|Q14192|D3DSZ4|Q2XQU9|D3DSZ4|Q53T66|D3DSZ4|Q6I9R8|P16519|Q02363|P16519|Q53T66|P17535|Q09472|P17535|Q14192|P17535|Q2XQU9|P17535|Q6I9R8|P17535|Q7Z6C1|P17535|Q9Y4K3|P22304|Q14192|P22304|Q2XQU9|P22304|Q6I9R8|P35222|Q09472|P35222|Q14192|P35222|Q2XQU9|P35222|Q6I9R8|P35222|Q7Z6C1|P35222|Q9Y4K3|P38936|Q7Z3B7|P38936|Q8WZ42|P41134|Q14192|P41134|Q2XQU9|P41134|Q6I9R8|P47928|Q14192|P47928|Q2XQU9|P47928|Q6I9R8|Q02363|Q14192|Q02363|Q2XQU9|Q02363|Q6I9R8|Q02363|Q86UG4|Q02363|Q96HC4|Q02535|Q14192|Q02535|Q2XQU9|Q02535|Q6I9R8|Q09472|Q14192|Q09472|Q2XQU9|Q09472|Q6I9R8|Q09472|Q9Y4K3|Q14192|Q53T66|Q14192|Q7Z6C1|Q14192|Q86UG4|Q14192|Q9Y4K3|Q2XQU9|Q53T66|Q2XQU9|Q7Z6C1|Q2XQU9|Q86UG4|Q2XQU9|Q9Y4K3|Q53T66|Q6I9R8|Q53T66|Q86UG4|Q53T66|Q96HC4|Q6I9R8|Q7Z6C1|Q6I9R8|Q86UG4|Q6I9R8|Q9Y4K3|Q7Z6C1|Q9Y4K3	97.86540329	137.2710864	yes		no	rd1
15942030	1.393769636	false	0	A0A024R8E2|B2RCY5|A0A024R8E2|E5KPM5|A0A024R8E2|E5KPM6|A0A024R8E2|E5KPM7|A0A024R8E2|E5KPM8|A0A024R8E2|E5KPM9|A0A024R8E2|E5KPN0|A0A024R8E2|E5KPN1|A0A024R8E2|O15527|A0A024R8E2|P18887|A0A024R8E2|Q59HH7|A0A024RBB6|B4DUC2|A0A024RBB6|E5KPM5|A0A024RBB6|E5KPM6|A0A024RBB6|E5KPM7|A0A024RBB6|E5KPM8|A0A024RBB6|E5KPM9|A0A024RBB6|E5KPN0|A0A024RBB6|E5KPN1|A0A024RBB6|J3QLK5|A0A024RBB6|O15527|A0A024RBB6|Q86UE8|A0A140VJU7|E5KPM5|A0A140VJU7|E5KPM6|A0A140VJU7|E5KPM7|A0A140VJU7|E5KPM8|A0A140VJU7|E5KPM9|A0A140VJU7|E5KPN0|A0A140VJU7|E5KPN1|A0A140VJU7|O15527|B2RCY5|P00519|B2RCY5|Q59FK4|B4DUC2|P11802|C9J020|E5KPM5|C9J020|E5KPM6|C9J020|E5KPM7|C9J020|E5KPM8|C9J020|E5KPM9|C9J020|E5KPN0|C9J020|E5KPN1|C9J020|O15527|D3DSZ4|E5KPM5|D3DSZ4|E5KPM6|D3DSZ4|E5KPM7|D3DSZ4|E5KPM8|D3DSZ4|E5KPM9|D3DSZ4|E5KPN0|D3DSZ4|E5KPN1|D3DSZ4|O15527|E5KPM5|P00519|E5KPM5|P11802|E5KPM5|Q59FK4|E5KPM5|Q86UG4|E5KPM6|P00519|E5KPM6|P11802|E5KPM6|Q59FK4|E5KPM6|Q86UG4|E5KPM7|P00519|E5KPM7|P11802|E5KPM7|Q59FK4|E5KPM7|Q86UG4|E5KPM8|P00519|E5KPM8|P11802|E5KPM8|Q59FK4|E5KPM8|Q86UG4|E5KPM9|P00519|E5KPM9|P11802|E5KPM9|Q59FK4|E5KPM9|Q86UG4|E5KPN0|P00519|E5KPN0|P11802|E5KPN0|Q59FK4|E5KPN0|Q86UG4|E5KPN1|P00519|E5KPN1|P11802|E5KPN1|Q59FK4|E5KPN1|Q86UG4|J3QLK5|P11802|O15527|P00519|O15527|P11802|O15527|P27695|O15527|Q59FK4|O15527|Q86UG4|P00519|P18887|P00519|Q59HH7|P11802|Q86UE8|P18887|Q59FK4|Q59FK4|Q59HH7	130.2757477	181.5743815	yes		no	rd1
19144645	1.384806358	false	2	A0A024RCN9|A3R0T8|A0A024RCN9|O75762|A0A024RCN9|P07305|A0A024RCN9|P10412|A0A024RCN9|Q9Y468|A0A0C4DFL8|O75164|A2ABF8|A3R0T8|A2ABF8|O75762|A2ABF8|P07305|A2ABF8|P10412|A2ABF8|Q9Y468|A2ABF9|A3R0T8|A2ABF9|O75762|A2ABF9|P07305|A2ABF9|P10412|A2ABF9|Q9Y468|A3R0T8|B7Z852|A3R0T8|Q59FM7|A3R0T8|Q96KQ7|B0QZ60|O75164|B4E142|O75164|B4E239|O75164|B7Z3V6|O75164|B7Z852|O75762|B7Z852|P07305|B7Z852|P10412|B7Z852|Q9Y468|F5GX28|O75164|O75164|O94953|O75164|P10412|O75164|Q9H3R0|O75762|Q59FM7|O75762|Q96KQ7|P07305|Q59FM7|P07305|Q96KQ7|P10412|Q13185|P10412|Q59FM7|P10412|Q96KQ7|P10412|Q9Y468|P59665|Q96KQ7|Q59FM7|Q9Y468|Q96KQ7|Q9Y468	31.77512359	14.66746439	yes		yes	rd1
18725536	1.383496418	false	0	A0A024RDH2|B4DXN7|A0A024RDH2|B4DY26|A0A024RDH2|P36897|A0A024RDH2|Q5T7S2|A0A0S2Z4D1|P01137|B4DXN7|D6RAH7|B4DXN7|P57059|B4DXN7|P61077|B4DY26|D6RAH7|B4DY26|P57059|B4DY26|P61077|D6RAH7|P36897|D6RAH7|Q5T7S2|O15105|P36897|O15105|P57059|P01137|P36897|P01137|P53999|P01137|P57059|P01137|Q13485|P01137|Q15831|P01137|Q6IBA2|P18075|P57059|P18075|Q13485|P36897|P57059|P36897|P61077|P37173|Q9UM73|P57059|Q15831|P57059|Q5T7S2|P57059|Q9HD26|P61077|Q5T7S2	22.06461286	30.52631286	yes		no	rd1
20352051	1.379419112	false	2	A0A024QZV1|A0A024RB10|A0A024QZV1|A0A024RB77|A0A024QZV1|A0A0S2Z491|A0A024QZV1|A0A0S2Z4G7|A0A024QZV1|A0A140VJQ2|A0A024QZV1|B4DDL9|A0A024QZV1|E7ESI2|A0A024QZV1|G3V5T9|A0A024QZV1|P06748|A0A024QZV1|P24941|A0A024QZV1|Q6FII1|A0A024QZV1|Q9Y2Q3|A0A024RB10|A0A087WUH9|A0A024RB10|Q9NYY3|A0A024RB77|A0A087WUH9|A0A024RB77|Q9NYY3|A0A087WUH9|A0A0S2Z491|A0A087WUH9|A0A0S2Z4G7|A0A087WUH9|A0A140VJQ2|A0A087WUH9|B4DDL9|A0A087WUH9|E7ESI2|A0A087WUH9|G3V5T9|A0A087WUH9|P06748|A0A087WUH9|P24941|A0A087WUH9|Q6FII1|A0A087WUH9|Q9Y2Q3|A0A0S2Z491|P53350|A0A0S2Z491|Q16513|A0A0S2Z491|Q6FII1|A0A0S2Z491|Q9NYY3|A0A0S2Z491|Q9Y2Q3|A0A0S2Z4G7|P53350|A0A0S2Z4G7|Q16513|A0A0S2Z4G7|Q6FII1|A0A0S2Z4G7|Q9NYY3|A0A0S2Z4G7|Q9Y2Q3|A0A140VJQ2|P53350|A0A140VJQ2|Q16513|A0A140VJQ2|Q6FII1|A0A140VJQ2|Q9NYY3|A0A140VJQ2|Q9Y2Q3|B4DDL9|Q9NYY3|E7ESI2|Q9NYY3|G3V5T9|Q9NYY3|P06748|P53350|P06748|Q12798|P06748|Q16513|P06748|Q6FII1|P06748|Q86UG4|P06748|Q9NYY3|P06748|Q9Y2Q3|P24941|Q9NYY3|Q6FII1|Q9NYY3|Q9NYY3|Q9Y2Q3	61.83037894	28.43000214	yes		no	rd1
19343227	1.370857143	false	2	A0A0A0MRG2|B7Z4M9|A0A0A0MRG2|O00213|A0A0A0MRG2|P26599|A0A0A0MRG2|Q9UMN6|A0A140VJC8|B7Z4M9|A0A140VJC8|O00213|A0A140VJC8|P26599|A0A140VJC8|Q9UMN6|A5PL27|Q92562|B4DGD0|B7Z4M9|B4DGD0|O00213|B4DGD0|P26599|B4DGD0|Q9UMN6|B4DJT9|B7Z4M9|B4DJT9|O00213|B4DJT9|P26599|B4DJT9|Q9UMN6|B7Z3P7|Q63HK5|B7Z4M9|E9PG40|B7Z4M9|O15379|B7Z4M9|P05067|B7Z4M9|P26599|B7Z4M9|P49662|B7Z4M9|Q13547|B7Z4M9|Q63HK5|B7Z4M9|Q6IT96|B7Z4M9|Q9UMN6|E9PG40|O00213|E9PG40|P26599|E9PG40|Q9UMN6|O00213|O15379|O00213|P05067|O00213|P26599|O00213|P49662|O00213|Q01105|O00213|Q02363|O00213|Q13547|O00213|Q63HK5|O00213|Q6IT96|O00213|Q6ZSZ6|O00213|Q9NRE2|O00213|Q9UMN6|P00450|Q92562|P05067|P26599|P05067|Q9UMN6|P26599|Q6FII1|P26599|Q9UMN6|P26599|Q9Y2Q3|P49662|Q63HK5|Q13547|Q63HK5|Q63HK5|Q92769|Q63HK5|Q9UKV0	35.98625752	16.44400606	yes	ChIP data	yes	rd1
17913746	1.350462338	false	0	A0A024R7I0|Q7Z5J4|A0A024R7I0|Q9UGU0|A0A024R7I0|W5ZR30|A0A024R7I1|Q7Z5J4|A0A024R7I1|Q9UGU0|A0A024R7I1|W5ZR30|A0A024R8E2|O14686|A0A024R8E2|Q59FG6|A0A024R8E2|Q6PIA1|A0A140VJU7|A0AV47|A0A140VJU7|A7E2X7|A0A140VJU7|Q05BV8|A0A140VJU7|Q92547|A0A140VJU7|Q9UGU0|A0A140VJU7|W5ZR30|A0AV47|C9J020|A0AV47|D3DSZ4|A0AV47|O15530|A0AV47|P78317|A0AV47|Q7Z5J4|A0AV47|Q86UG4|A0AV47|Q9UGU0|A0AV47|W5ZR30|A7E2X7|C9J020|A7E2X7|D3DSZ4|A7E2X7|O15530|A7E2X7|P78317|A7E2X7|Q7Z5J4|A7E2X7|Q86UG4|A7E2X7|Q9UGU0|A7E2X7|W5ZR30|A8K2I7|Q7Z5J4|A8K2I7|Q9UGU0|A8K2I7|W5ZR30|A8K725|Q9UGU0|A8K725|W5ZR30|B4DT73|Q9UGU0|B4DT73|W5ZR30|B4DW78|Q9UGU0|B4DW78|W5ZR30|C9J020|Q05BV8|C9J020|Q92547|C9J020|Q9UGU0|C9J020|W5ZR30|D3DSZ4|Q05BV8|D3DSZ4|Q92547|D3DSZ4|Q9UGU0|D3DSZ4|W5ZR30|E7EPP6|Q9UGU0|E7EPP6|W5ZR30|O14686|P00519|O14686|Q59FK4|O14757|Q9UGU0|O14757|W5ZR30|O14908|Q7Z5J4|O14908|Q9UGU0|O14908|W5ZR30|O15530|Q05BV8|O15530|Q92547|P00519|Q59FG6|P00519|Q6PIA1|P05412|Q9UGU0|P05412|W5ZR30|P08254|Q92547|P08254|Q9BTE0|P08254|Q9UGU0|P14921|Q9UGU0|P14921|W5ZR30|P78317|Q05BV8|P78317|Q92547|Q01094|Q92547|Q05BV8|Q7Z5J4|Q05BV8|Q86UG4|Q05BV8|Q9UGU0|Q05BV8|W5ZR30|Q13105|Q92547|Q59FG6|Q59FK4|Q59FK4|Q6PIA1|Q7Z5J4|Q92547|Q86UG4|Q92547|Q86UG4|Q9UGU0|Q86UG4|W5ZR30|Q92547|Q9BTE0|Q92547|Q9UGU0|Q92547|W5ZR30|Q9BTE0|Q9UGU0	93.6502866	126.471185	yes		no	rd1
21311754	1.350075191	false	0	A0A024RAE4|A0A068F7M9|A0A024RAE4|B0LPE5|A0A024RAE4|B3KVH4|A0A024RAE4|I3L4C2|A0A024RAE4|P31749|A0A024RAE4|P49841|A0A024RAE4|Q6FI27|A0A024RAE4|Q9NPB6|A0A024RAE4|Q9UJX2|A0A024RAE4|Q9UQB8|A0A024RAE4|Q9Y613|A0A024RAE6|A0A068F7M9|A0A024RAE6|B0LPE5|A0A024RAE6|B3KVH4|A0A024RAE6|I3L4C2|A0A024RAE6|P31749|A0A024RAE6|P49841|A0A024RAE6|Q6FI27|A0A024RAE6|Q9NPB6|A0A024RAE6|Q9UJX2|A0A024RAE6|Q9UQB8|A0A024RAE6|Q9Y613|A0A024RC65|Q92845|A0A024RC65|Q9NR80|A0A024RC65|Q9NTG0|A0A068F7M9|B0LPE5|A0A068F7M9|B3KVH4|A0A068F7M9|B3KXJ4|A0A068F7M9|C9J1X3|A0A068F7M9|P31749|A0A068F7M9|P49841|A0A068F7M9|P60953|A0A068F7M9|Q07912|A0A068F7M9|Q6FI27|A8K5M4|I3L4C2|A8K5M4|Q9UJX2|A8K5M4|Q9UQB8|B0LPE5|I3L4C2|B0LPE5|P60953|B0LPE5|Q9NPB6|B0LPE5|Q9UJX2|B0LPE5|Q9UQB8|B0LPE5|Q9Y613|B3KVH4|I3L4C2|B3KVH4|P60953|B3KVH4|Q9NPB6|B3KVH4|Q9UJX2|B3KVH4|Q9UQB8|B3KVH4|Q9Y613|B3KXJ4|I3L4C2|B3KXJ4|Q9NPB6|B3KXJ4|Q9UJX2|B3KXJ4|Q9UQB8|B3KXJ4|Q9Y613|C9J1X3|I3L4C2|C9J1X3|Q9NPB6|C9J1X3|Q9UJX2|C9J1X3|Q9UQB8|C9J1X3|Q9Y613|I3L4C2|P31749|I3L4C2|P49841|I3L4C2|P60953|I3L4C2|Q07912|I3L4C2|Q13177|I3L4C2|Q6FI27|O00401|Q9UQB8|P31749|P60953|P31749|Q9NPB6|P31749|Q9UJX2|P31749|Q9UQB8|P31749|Q9Y613|P46940|Q92845|P46940|Q9NR80|P46940|Q9NTG0|P49841|P60953|P49841|Q9NPB6|P49841|Q9UJX2|P49841|Q9UQB8|P49841|Q9Y613|P60953|Q6FI27|P60953|Q9NPB6|P60953|Q9UJX2|P60953|Q9UQB8|P60953|Q9Y613|Q07912|Q9NPB6|Q07912|Q9UJX2|Q07912|Q9UQB8|Q07912|Q9Y613|Q13177|Q9UJX2|Q13177|Q9UQB8|Q6FI27|Q9NPB6|Q6FI27|Q9UJX2|Q6FI27|Q9UQB8|Q6FI27|Q9Y613|Q92845|Q9NR80|Q92845|Q9NTG0|Q9NPB6|Q9UJX2	85.18146768	115.0013863	yes		no	rd1
