pmid	relevance	known	contains_interactions	pablo_comment	round	id	imex	reactome	tm_epmc	tm_dm_times_found	EVEX	evex_score_ave	BioGRID	GO_IPI	OmniPath_interactions	OmniPath_ptm
20231902	1.854864784	yes	yes		rd1	1	0	0	1	2	1	-0.6722178	1	1	1	1
20205790	1.411133333	yes	yes		rd1	2	0	0	1	15	1	0.823686307692308	1	0	0	0
19417068	1.402651824	no	yes		rd1	3	0	0	1	15	1	0.558825768103448	0	0	0	0
15942030	1.393769636	no	yes		rd1	4	0	0	1	13	1	-0.0488044827586207	0	0	0	0
19144645	1.384806358	yes	yes		rd1	5	0	0	1	5	1	-1.20866378723404	1	0	1	0
18725536	1.383496418	no	yes		rd1	6	0	0	1	2	1	-0.798888	0	0	0	0
20352051	1.379419112	no	yes		rd1	7	0	1	1	7	1	-0.40985592631579	0	1	0	0
19343227	1.370857143	yes	yes	ChIP data	rd1	8	0	0	1	10	1	-0.5735403	1	1	0	0
17913746	1.350462338	no	yes		rd1	9	0	0	1	13	1	0.331077696202532	0	0	0	0
21311754	1.350075191	no	yes		rd1	10	0	0	1	13	1	0.564324493488372	0	0	0	0
25293974	0.749686932	no	yes		rd1	11	0	0	0	0	0	0	0	0	1	0
17332776	0.749686932	yes	yes		rd1	12	0	0	0	0	0	0	1	0	0	0
25242525	0.749686932	yes	yes	crystal, homodimers	rd1	13	0	0	0	0	0	0	1	0	0	0
9845526	0.749686932	yes	yes		rd1	14	0	0	0	0	0	0	1	1	0	0
11546794	0.749686932	yes	yes		rd1	15	0	0	0	0	0	0	1	0	1	1
8276809	0.749686932	no	yes		rd1	16	0	0	0	0	0	0	0	1	0	0
9461588	0.749686932	no	yes		rd1	17	0	0	0	0	0	0	0	0	0	1
19200342	0.749686932	no	yes		rd1	18	0	0	0	0	0	0	0	0	1	0
12016217	0.749686932	yes	yes		rd1	19	0	0	0	0	0	0	1	0	0	0
10713049	0.749686932	no	yes		rd1	20	0	0	0	0	0	0	0	1	1	0
9228024	0.500042538	no	no	binding mentioned, enzyme activty measured	rd1	21	0	0	0	0	1	-0.00188681	0	0	0	0
22053213	0.500042538	no	yes	ChIP data	rd1	22	0	0	0	0	1	-0.562735366666667	0	0	0	0
15492845	0.500042538	no	no	interaction mentioned in abstract, but referred to older paper	rd1	23	0	0	0	0	1	0.0787653958333333	0	0	0	0
15629458	0.500042538	no	yes	could not be 100% ascertained, paper behind paywall	rd1	24	0	0	0	0	1	0.0141166166666667	0	0	0	0
9662395	0.500042538	no	no	interaction used in a different context (genetic interaction)	rd1	25	0	0	0	0	1	-0.00258178	0	0	0	0
8567687	0.500042538	no	no	interaction mentioned in abstract, but referred to older paper	rd1	26	0	0	0	0	1	-0.00199811	0	0	0	0
18818748	0.500042538	no	no	interaction used in a different context (genetic interaction)	rd1	27	0	0	0	0	1	-0.123074432	0	0	0	0
19069310	0.500042538	no	no	review	rd1	28	0	0	0	0	1	-0.00183771	0	0	0	0
10550206	0.500042538	no	no	review	rd1	29	0	0	0	0	1	-0.0018979	0	0	0	0
2438332	0.500042538	no	no / NA	could not be 100% ascertained, paper behind paywall	rd1	30	0	0	0	0	1	-0.00250045	0	0	0	0
21629263	1.347151182	no	yes		rd2	31	0	0	1	4	1	-1.31432866666667	1	0	0	0
11756467	1.3093522	no	yes		rd2	32	0	0	1	2	1	-1.74347	0	0	0	0
15507451	1.295151245	yes	yes		rd2	33	0	0	0	0	1	-1.78204	1	0	0	0
21385873	1.287646713	yes	yes		rd2	34	0	0	1	6	1	-0.261941636363636	1	1	0	0
11034606	1.276620479	yes	yes		rd2	35	0	0	1	7	1	-0.235032026744186	1	0	0	0
20457750	1.239390358	yes	yes		rd2	36	0	0	1	5	1	1.001628	1	1	0	0
18590578	1.19829061	yes	yes		rd2	37	0	0	1	5	1	-0.136270007692308	1	0	1	0
25149538	1.154365283	yes	yes		rd2	38	0	0	1	5	0	0	1	0	0	0
19487455	1.087919933	yes	yes		rd2	39	0	0	1	6	1	-0.181357933333333	1	1	0	0
19232515	1.064370919	yes	yes		rd2	40	0	0	0	0	1	-0.0520627	1	0	0	0
9334164	0.752628361	yes	yes		rd2	41	0	0	0	0	0	0	1	0	0	0
