pmid	relevance	known	contains_interactions	pablo_comment	round
20231902	1.854864784	yes	yes		rd1
20205790	1.411133333	yes	yes		rd1
19417068	1.402651824	no	yes		rd1
15942030	1.393769636	no	yes		rd1
19144645	1.384806358	yes	yes		rd1
18725536	1.383496418	no	yes		rd1
20352051	1.379419112	no	yes		rd1
19343227	1.370857143	yes	yes	ChIP data	rd1
17913746	1.350462338	no	yes		rd1
21311754	1.350075191	no	yes		rd1
25293974	0.749686932	no	yes		rd1
17332776	0.749686932	yes	yes		rd1
25242525	0.749686932	yes	yes	crystal, homodimers	rd1
9845526	0.749686932	yes	yes		rd1
11546794	0.749686932	yes	yes		rd1
8276809	0.749686932	no	yes		rd1
9461588	0.749686932	no	yes		rd1
19200342	0.749686932	no	yes		rd1
12016217	0.749686932	yes	yes		rd1
10713049	0.749686932	no	yes		rd1
9228024	0.500042538	no	no	binding mentioned, enzyme activty measured	rd1
22053213	0.500042538	no	yes	ChIP data	rd1
15492845	0.500042538	no	no	interaction mentioned in abstract, but referred to older paper	rd1
15629458	0.500042538	no	yes	could not be 100% ascertained, paper behind paywall	rd1
9662395	0.500042538	no	no	interaction used in a different context (genetic interaction)	rd1
8567687	0.500042538	no	no	interaction mentioned in abstract, but referred to older paper	rd1
18818748	0.500042538	no	no	interaction used in a different context (genetic interaction)	rd1
19069310	0.500042538	no	no	review	rd1
10550206	0.500042538	no	no	review	rd1
2438332	0.500042538	no	no / NA	could not be 100% ascertained, paper behind paywall	rd1
21629263	1.347151182	no	yes		rd2
11756467	1.3093522	no	yes		rd2
15507451	1.295151245	yes	yes		rd2
21385873	1.287646713	yes	yes		rd2
11034606	1.276620479	yes	yes		rd2
20457750	1.239390358	yes	yes		rd2
18590578	1.19829061	yes	yes		rd2
25149538	1.154365283	yes	yes		rd2
19487455	1.087919933	yes	yes		rd2
19232515	1.064370919	yes	yes		rd2
9334164	0.752628361	yes	yes		rd2
10209123	0.752628361	yes	yes		rd2
22907656	0.752628361	yes	yes		rd2
21278419	0.752628361	yes	yes		rd2
19047179	0.752628361	yes	yes		rd2
10619021	0.752628361	yes	yes		rd2
20504995	0.752628361	yes	yes		rd2
19647793	0.752628361	yes	yes		rd2
8626413	0.752628361	yes	yes		rd2
9230816	0.752628361	yes	yes		rd2
25366495	0.748765944	yes	yes		rd2
25380047	0.748765944	yes	yes		rd2
25384975	0.748765944	yes	yes		rd2
25384981	0.748765944	yes	yes		rd2
25385192	0.748765944	yes	yes		rd2
25388970	0.748765944	yes	yes		rd2
25404403	0.748765944	yes	yes		rd2
25404732	0.748765944	yes	yes		rd2
25408501	0.748765944	yes	yes		rd2
25411243	0.748765944	yes	yes		rd2
18337501	0.501078525	no	yes		rd2
21603163	0.500919773	yes	yes		rd2
10779323	0.500893125	no	yes	mostly DNA-protein interactions	rd2
1461721	0.500817405	no	yes?	very old paper, evidence might not be good enough for IMEx	rd2
8505282	0.500582271	yes	yes		rd2
19038973	0.500515745	no	yes		rd2
12210728	0.500511739	yes	yes		rd2
14662749	0.500393707	yes	yes		rd2
10583507	0.500181416	yes	yes		rd2
14987413	0.499973476	no	no	clinical review	rd2
14643060	0.349980281	no	no	review	rd2
15260889	0.349911774	no	no		rd2
15264216	0.349631179	no	yes?	lipid-protein interaction in ezymatic assay, 'interaction' used frequently in text in context of genetic interaction	rd2
9677319	0.349617435	no	yes		rd2
18573876	0.349617435	yes	yes		rd2
15932940	0.349617435	yes	yes		rd2
20085538	0.34948955	yes	yes		rd2
11940591	0.34948955	yes	yes		rd2
15314026	0.34948955	no	yes		rd2
9560319	0.34948955	yes	yes	small-molecule-protein interaction	rd2
11777942	0.249267713	yes	yes		rd2
20110263	0.249232634	no	yes	ChIP data	rd2
20089844	0.249163498	no	yes		rd2
15985167	0.249088653	no	no	structure modelling paper	rd2
21679465	0.248829417	no	yes	ChIP data	rd2
22347420	0.24871342	yes	yes		rd2
19534553	0.248561094	no	no	generic phosphorylated peptide Ips	rd2
28066428	0.248400133	no	yes	ChIP data	rd2
15911876	0.248358805	no	yes		rd2
23516550	0.248233678	yes	yes		rd2
25190485	0.100989657	yes	yes		rd2
25901786	0.10035053	yes	yes		rd2
22262461	0.10035053	yes	yes		rd2
26927068	0.10035053	no	yes	ChIP, y1h, EMSA data	rd2
12438421	0.100263457	no	no	RETRACTED PAPER	rd2
25595906	0.100178618	yes	yes		rd2
25839160	0.099756574	no	no		rd2
24960071	0.09966549	no	yes	Already in IMEx	rd2
11877461	0.099532628	no	yes		rd2
27926479	0.099395342	no	yes	ChIP data	rd2
24385911	0.03060522	no	yes		rd2
23727861	0.028193108	yes	yes		rd2
24736547	0.028193108	no	no		rd2
22272266	0.028193108	no	no		rd2
25032869	0.028193108	no	no		rd2
20028516	0.028072604	yes	yes		rd2
25896913	0.02615929	no	no		rd2
27581363	0.024833712	no	yes		rd2
26687445	0.023785764	no	yes		rd2
23455675	0.019562423	yes	yes		rd2
